iter	Accuracy	Logloss
0	0.8866660064	0.57356814
1	0.8901323826	0.4897004132
2	0.8906275791	0.4297970597
3	0.8903634743	0.3884231396
4	0.8903304612	0.3563555592
5	0.8921791951	0.3315529293
6	0.8956125582	0.3096661444
7	0.8972302004	0.2942174217
8	0.8984516853	0.2816802069
9	0.898979895	0.2719664883
10	0.9003004193	0.263394128
11	0.9008616421	0.2567830171
12	0.903634743	0.2485039533
13	0.9039318609	0.2418355838
14	0.9051533459	0.237489218
15	0.9040969265	0.2333657103
16	0.9050873197	0.2289229728
17	0.905813608	0.226090891
18	0.905186359	0.2227428602
19	0.9056815556	0.2209800761
20	0.9069360536	0.2184108297
21	0.907365224	0.2167694146
22	0.9077283682	0.2156138387
23	0.9080584992	0.2141876236
24	0.9084216434	0.2130575369
25	0.9085536958	0.2122414528
26	0.9089828662	0.2110570098
27	0.9090488924	0.2100135276
28	0.9092139579	0.2090800187
29	0.9098081939	0.2085105552
30	0.9097421676	0.2076528413
31	0.9100392856	0.207003761
32	0.910171338	0.206043065
33	0.9105014691	0.20542817
34	0.9106335215	0.2049093917
35	0.9111617312	0.2040611553
36	0.9117559671	0.2036093087
37	0.9114588492	0.2026970922
38	0.9117889802	0.2023386009
39	0.9115909016	0.2007016297
40	0.9116899409	0.1997357579
41	0.9114918623	0.1996577231
42	0.9117889802	0.1995044774
43	0.9122841768	0.1992317693
44	0.9123171899	0.1987668059
45	0.9126803341	0.1985702845
46	0.9127793734	0.1983337208
47	0.9128784127	0.1980960835
48	0.9131425176	0.1979936388
49	0.9131755307	0.1969500559
50	0.9133405962	0.1968211735
51	0.9132415569	0.1964730375
52	0.9134726486	0.1961721604
53	0.9138688059	0.195920277
54	0.9138357928	0.1951966639
55	0.9140008583	0.1947288073
56	0.9141329108	0.1944728675
57	0.9142319501	0.1942869401
58	0.9143309894	0.1938274693
59	0.9147931729	0.1936489713
60	0.9145620811	0.1934697742
61	0.914529068	0.1933618374
62	0.9147271467	0.1932930444
63	0.9149582384	0.192712935
64	0.9149582384	0.1925591965
65	0.9149912515	0.1923994263
66	0.9150902908	0.1923180778
67	0.915123304	0.1922199507
68	0.9147601598	0.1921019321
69	0.9147271467	0.1920853593
70	0.9149252253	0.1919285253
71	0.9150242646	0.191761868
72	0.915123304	0.1916117588
73	0.9153874088	0.1914427153
74	0.9150572777	0.1912946085
75	0.9151563171	0.1911656982
76	0.9151893302	0.1911350783
77	0.9151893302	0.1911218376
78	0.9154204219	0.1909642002
79	0.9154204219	0.1909535228
80	0.9153213826	0.1907239838
81	0.9153213826	0.1907142923
82	0.915453435	0.1905644322
83	0.9152883695	0.1903597182
84	0.9152223433	0.1903505656
85	0.9153874088	0.1898758627
86	0.9157175399	0.1897111487
87	0.9159816447	0.1896251683
88	0.916080684	0.1895435863
89	0.9160476709	0.1895337589
90	0.916080684	0.1894454484
91	0.9160146578	0.1894132716
92	0.9162457496	0.1893508392
93	0.9162457496	0.1893058882
94	0.9161136971	0.1891291234
95	0.916080684	0.1891182781
96	0.9161467102	0.1890933033
97	0.9162127365	0.1890742073
98	0.9166088937	0.1889498944
99	0.9166419068	0.1889425073
