iter	Passed	Remaining
0	403	39899
1	932	45680
2	1740	56273
3	2636	63275
4	2975	56533
5	3526	55245
6	3938	52330
7	4506	51824
8	4813	48672
9	5316	47846
10	5676	45927
11	6141	45035
12	6521	43643
13	6965	42788
14	7714	43715
15	8305	43602
16	9070	44284
17	9386	42759
18	9767	41638
19	10063	40254
20	10348	38930
21	10750	38115
22	10961	36696
23	11195	35453
24	11381	34145
25	11631	33106
26	12017	32492
27	12248	31497
28	12552	30730
29	12825	29926
30	13143	29255
31	13481	28647
32	13768	27954
33	14168	27503
34	14453	26841
35	14787	26288
36	15149	25795
37	15458	25222
38	15862	24811
39	16233	24350
40	16714	24052
41	16886	23318
42	17343	22990
43	17693	22518
44	18216	22265
45	18632	21872
46	19022	21451
47	19493	21118
48	20297	21126
49	20931	20931
50	21557	20711
51	22193	20486
52	22809	20227
53	23419	19949
54	23966	19609
55	24669	19383
56	25553	19277
57	26035	18853
58	26503	18417
59	27246	18164
60	27664	17686
61	28339	17369
62	28882	16962
63	29503	16595
64	30003	16155
65	30285	15601
66	30784	15162
67	31284	14722
68	31580	14188
69	32071	13744
70	32370	13221
71	32611	12682
72	33071	12231
73	33283	11694
74	33473	11157
75	33666	10631
76	33913	10129
77	34495	9729
78	35073	9323
79	35468	8867
80	35834	8405
81	36210	7948
82	36607	7497
83	37062	7059
84	37401	6600
85	37809	6155
86	38140	5699
87	38484	5247
88	38684	4781
89	38973	4330
90	39255	3882
91	39416	3427
92	39822	2997
93	39968	2551
94	40176	2114
95	40435	1684
96	40620	1256
97	41007	836
98	41131	415
99	41301	0
